Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	silencingRate	clockRate.c	birthRate	rho	deathRate
100000	-326.9948394419329	-116.46881010782619	-210.52602933410674	-116.46881010782619	40.24578137359027	0.09965901608580055	0.04608602845903839	0.03086165424148849	0.10125801803915838	0.05288692327101087	0.026286650114321533	0.014917871748667252	0.3088927982110667	0.039196282121606904	0.04404687081274654	0.027807271331136987	0.029020043877399225	0.17908057168655808	0.0	0.020711586109889494	0.2803987972065868	1.0	0.23393052775757367
110000	-333.55026035971343	-114.85610251187734	-218.69415784783612	-114.85610251187734	44.72265457833329	0.09965901608580055	0.06550616056037337	0.03086165424148849	0.056738940713322264	0.05288692327101087	0.026286650114321533	0.014917871748667252	0.19000587955415366	0.039196282121606904	0.04404687081274654	0.027807271331136987	0.05411898910190036	0.29796749034347114	0.0	0.02050868117696801	0.18395135146829975	1.0	0.12141082864511624
120000	-318.65109143231996	-114.13201396111121	-204.51907747120873	-114.13201396111121	51.307787063633434	0.09965901608580055	0.06550616056037337	0.03086165424148849	0.0552751648303454	0.05288692327101087	0.026286650114321533	0.016381647631644118	0.19000587955415366	0.039196282121606904	0.04404687081274654	0.027807271331136987	0.05411898910190036	0.29796749034347114	0.0	0.018626193957022474	0.3324405658473186	1.0	0.3213131133891062
130000	-317.2181757062989	-121.84854498835175	-195.36963071794716	-121.84854498835175	41.68936898295032	0.09965901608580055	0.06550616056037337	0.03086165424148849	0.0552751648303454	0.05288692327101087	0.026286650114321533	0.016381647631644118	0.3782008770829063	0.039196282121606904	0.04404687081274654	0.027807271331136987	0.05411898910190036	0.10977249281471854	0.0	0.021207653094575656	0.4062980750699879	1.0	0.3899627772250108
140000	-303.5194660195872	-126.1557156232432	-177.363750396344	-126.1557156232432	28.313687655417027	0.09965901608580055	0.06550616056037337	0.03086165424148849	0.0552751648303454	0.05288692327101087	0.026286650114321533	0.016381647631644118	0.35201185070427954	0.039196282121606904	0.07023589719137331	0.027807271331136987	0.05411898910190036	0.10977249281471854	0.0	0.01935258655750258	0.4084419027937891	1.0	0.34894434899732346
150000	-320.90463128284364	-121.0691202773358	-199.83551100550784	-121.0691202773358	56.20426973380921	0.09965901608580055	0.23678615830054678	0.03086165424148849	0.06754808008704795	0.05288692327101087	0.026286650114321533	0.016381647631644118	0.20238099950503866	0.039196282121606904	0.07023589719137331	0.027807271331136987	0.04184607384519781	0.08812334627378603	0.0	0.02147705034570558	0.39725634137164095	1.0	0.38188290980145806
160000	-320.22451352594896	-116.8713984274255	-203.3531150985235	-116.8713984274255	43.56613522720603	0.09965901608580055	0.16526694518700663	0.037108418020366817	0.06754808008704795	0.07011054813560273	0.026286650114321533	0.016381647631644118	0.18009565835685004	0.018103621277461956	0.07023589719137331	0.027807271331136987	0.13327290030760136	0.08812334627378603	0.0	0.019653565949007735	0.2668131306515899	1.0	0.218489227796912
170000	-332.8958096191718	-133.55640754569458	-199.33940207347726	-133.55640754569458	43.56613522720603	0.09965901608580055	0.16526694518700663	0.037108418020366817	0.06942155977183194	0.06247895943375294	0.026286650114321533	0.016381647631644118	0.18585376737391585	0.018103621277461956	0.07023589719137331	0.01659255808791426	0.1444876135508241	0.08812334627378603	0.0	0.021786411164843842	0.34429972008935517	1.0	0.27062482931160575
180000	-313.74001784445846	-120.51331196218456	-193.2267058822739	-120.51331196218456	34.584946921080494	0.09965901608580055	0.16526694518700663	0.037108418020366817	0.06942155977183194	0.06247895943375294	0.026286650114321533	0.016381647631644118	0.18585376737391585	0.018103621277461956	0.07023589719137331	0.01659255808791426	0.1444876135508241	0.08812334627378603	0.0	0.02324622070203055	0.24330502452584876	1.0	0.15330648365043673
190000	-317.22804655005547	-114.88725086125498	-202.34079568880048	-114.88725086125498	29.197799680007055	0.09965901608580055	0.16526694518700663	0.037108418020366817	0.06942155977183194	0.10314753820497775	0.026286650114321533	0.016381647631644118	0.14518518860269103	0.018103621277461956	0.07023589719137331	0.01659255808791426	0.1444876135508241	0.08812334627378603	0.0	0.020320115320009772	0.29360455104658384	1.0	0.17896028775991307
200000	-308.8862411326985	-121.97219067452589	-186.9140504581726	-121.97219067452589	25.832098095036926	0.037489764381525924	0.22726432023306747	0.037108418020366817	0.1843513631095645	0.1653167899092524	0.026286650114321533	0.016381647631644118	0.015615409229590094	0.018103621277461956	0.07023589719137331	0.01659255808791426	0.11178197832067491	0.07347158249324277	0.0	0.02725510079297727	0.44888448906934925	1.0	0.3869980385167577
210000	-332.8759408145032	-134.01868185641285	-198.8572589580904	-134.01868185641285	28.046893272528976	0.037489764381525924	0.22726432023306747	0.00584281472336657	0.1843513631095645	0.1653167899092524	0.026286650114321533	0.047647250928644365	0.015615409229590094	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.11178197832067491	0.05999627461775281	0.0	0.025278468859654457	0.19245941023316784	1.0	0.07700066745387224
220000	-338.06779091309	-125.83131227916327	-212.2364786339267	-125.83131227916327	28.046893272528976	0.037489764381525924	0.21993966073852	0.00584281472336657	0.1843513631095645	0.1653167899092524	0.026286650114321533	0.047647250928644365	0.022940068724137553	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.11178197832067491	0.05999627461775281	0.0	0.021984465360950212	0.21166882111698995	1.0	0.09630448264941864
230000	-342.08693865010025	-120.68210334945809	-221.4048353006422	-120.68210334945809	46.90840504740716	0.037489764381525924	0.21993966073852	0.00584281472336657	0.1843513631095645	0.1653167899092524	0.026286650114321533	0.047647250928644365	0.022940068724137553	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.11178197832067491	0.05999627461775281	0.0	0.022870920021860388	0.18027126838554736	1.0	0.1087717460872483
240000	-329.2958650342344	-124.90791849603748	-204.38794653819693	-124.90791849603748	49.959145553018345	0.037489764381525924	0.2552898524039079	0.00584281472336657	0.1843513631095645	0.1653167899092524	0.026286650114321533	0.07864285897326234	0.022940068724137553	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.045436178610669065	0.05999627461775281	0.0	0.02254288218283347	0.280194757282279	1.0	0.21577117240678495
250000	-371.65790270522655	-129.1514876235559	-242.50641508167067	-129.1514876235559	49.959145553018345	0.037489764381525924	0.28885850234762395	0.00584281472336657	0.043312286278630374	0.27278721679647044	0.026286650114321533	0.07864285897326234	0.022940068724137553	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.045436178610669065	0.05999627461775281	0.0	0.012246340152618338	0.22724313225994439	1.0	0.17294669785067798
260000	-385.5205675645593	-130.22079674533967	-255.29977081921965	-130.22079674533967	50.04930833354406	0.05560430487027264	0.28885850234762395	0.00584281472336657	0.02519774578988366	0.16909536592516797	0.026286650114321533	0.07864285897326234	0.12663191959544004	0.03157892915295192	0.07023589719137331	0.01659255808791426	0.045436178610669065	0.05999627461775281	0.0	0.008286991684216389	0.12823305597862766	1.0	0.0979232349790343
270000	-332.9121894835755	-123.76078691871247	-209.15140256486305	-123.76078691871247	53.869359964594906	0.05560430487027264	0.1949741411398802	0.00584281472336657	0.02519774578988366	0.16909536592516797	0.026286650114321533	0.01971100638650966	0.12663191959544004	0.0905107817397046	0.07023589719137331	0.11047691929565798	0.045436178610669065	0.05999627461775281	0.0	0.019892341498270485	0.33678843363963024	1.0	0.32358758874859667
280000	-343.3895436446999	-125.39545079102895	-217.994092853671	-125.39545079102895	47.6103815392654	0.13597600500222767	0.1949741411398802	0.00584281472336657	0.02519774578988366	0.16909536592516797	0.026286650114321533	0.01971100638650966	0.12663191959544004	0.010139081607749581	0.07023589719137331	0.11047691929565798	0.045436178610669065	0.05999627461775281	0.0	0.01959220880325768	0.17829875333726125	1.0	0.12132685731950961
290000	-339.88294448529916	-125.49634022173679	-214.3866042635624	-125.49634022173679	54.09921098472002	0.10783400060566511	0.2551128484426414	0.00584281472336657	0.02519774578988366	0.16909536592516797	0.026286650114321533	0.01971100638650966	0.12663191959544004	0.010139081607749581	0.07023589719137331	0.11047691929565798	0.045436178610669065	0.027999571711554164	0.0	0.02052332367554105	0.24611266468899992	1.0	0.2056435029098469
300000	-342.4128981732797	-120.713107697595	-221.69979047568467	-120.713107697595	42.26028704632661	0.10783400060566511	0.14884513452018966	0.00584281472336657	0.02519774578988366	0.16909536592516797	0.026286650114321533	0.01971100638650966	0.12663191959544004	0.010139081607749581	0.07023589719137331	0.11047691929565798	0.15170389253312083	0.027999571711554164	0.0	0.014165241696318383	0.18149625104624742	1.0	0.0692411076238596
310000	-364.80530331857744	-140.27273541280317	-224.53256790577427	-140.27273541280317	42.26028704632661	0.10783400060566511	0.14884513452018966	0.00584281472336657	0.02519774578988366	0.20478566453633704	0.026286650114321533	0.01971100638650966	0.12663191959544004	0.010139081607749581	0.020153315514264497	0.11333856433171796	0.16323453056300058	0.027999571711554164	0.0	0.01957331027602957	0.15900988838454322	1.0	0.06653878631036254
