Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	silencingRate	clockRate.c	birthRate	rho	deathRate
5080000	-115.95701281560491	-75.13250517523672	-40.82450764036819	-75.13250517523672	38.14439972375507	0.3875440931322841	0.35430276196099103	0.08465945646758266	0.044573239211327935	0.07967878082202971	0.015235936742076043	0.011221182211235844	0.02278454945247308	0.0	0.037716305916621756	0.19444881126904676	1.0	0.15418910021971674
5090000	-120.89710631358545	-78.38695139885982	-42.51015491472564	-78.38695139885982	41.980760106134795	0.07229812235930494	0.6737270530568658	0.08465945646758266	0.044573239211327935	0.030044305009716235	0.011057616419180415	0.06085565802354932	0.02278454945247308	0.0	0.03404101542407043	0.4700042647984776	1.0	0.452808658301241
5100000	-117.88392432951329	-76.7186156938948	-41.16530863561848	-76.7186156938948	44.951900792514756	0.07229812235930494	0.6518499876670125	0.08465945646758266	0.044573239211327935	0.0519213703995695	0.011057616419180415	0.06085565802354932	0.02278454945247308	0.0	0.025240428271685288	0.2618794528065378	1.0	0.24649493738385436
5110000	-120.60678126521675	-76.88999638710808	-43.71678487810867	-76.88999638710808	46.59375794086215	0.12595213518590143	0.6518499876670125	0.08126949000884251	0.04796320567006809	0.0519213703995695	0.011057616419180415	0.0072016451969528494	0.02278454945247308	0.0	0.03731021270104445	0.15471465891305936	1.0	0.06712889882163976
5120000	-114.56655107635837	-74.25998854735799	-40.306562529000374	-74.25998854735799	48.76497781643544	0.09508330359939798	0.6491069893685932	0.08126949000884251	0.0353850062625889	0.054664368697988755	0.011057616419180415	0.05064867619093549	0.02278454945247308	0.0	0.027229394121848154	0.1846171715294701	1.0	0.18033653207126846
5130000	-115.45061588379338	-76.22268217712812	-39.227933706665254	-76.22268217712812	41.96628376279114	0.09508330359939798	0.5895168130012711	0.08126949000884251	0.09497518262991103	0.054664368697988755	0.011057616419180415	0.05064867619093549	0.02278454945247308	0.0	0.030775207364513838	0.3269249652282455	1.0	0.322357969803492
5140000	-116.01119152054946	-74.91548218453508	-41.09570933601439	-74.91548218453508	40.56682069362305	0.09508330359939798	0.5895168130012711	0.08126949000884251	0.09497518262991103	0.054664368697988755	0.011057616419180415	0.05064867619093549	0.02278454945247308	0.0	0.0382027658996114	0.25836896946264815	1.0	0.25195837446847724
5150000	-116.84292418910084	-73.96548045567394	-42.87744373342691	-73.96548045567394	40.52492220874461	0.09508330359939798	0.5895168130012711	0.11860550555280604	0.09413422033661836	0.05550533099128142	0.011057616419180415	0.013312660646971966	0.02278454945247308	0.0	0.034073055530048406	0.13035934947525746	1.0	0.09084102592512798
5160000	-117.26241004165689	-75.31887182440427	-41.94353821725263	-75.31887182440427	42.95921432329563	0.09508330359939798	0.5337253416003132	0.17439697695376402	0.09413422033661836	0.05550533099128142	0.011057616419180415	0.013312660646971966	0.02278454945247308	0.0	0.04057636297035615	0.14559293940529386	1.0	0.11091343839191561
5170000	-118.90991145353834	-75.61311489970531	-43.29679655383304	-75.61311489970531	41.50084113865201	0.05169152093217592	0.4679439816848268	0.07331101870211229	0.09413422033661836	0.05550533099128142	0.011057616419180415	0.18017997881411002	0.06617633211969515	0.0	0.03281417819919726	0.14987618035489747	1.0	0.1359116963379956
5180000	-117.63515416863541	-75.75840513498014	-41.876749033655265	-75.75840513498014	44.80152504911974	0.05169152093217592	0.4358754898899052	0.07807832323053936	0.26155037446414725	0.05073802646285435	0.011057616419180415	0.07513840109382225	0.0358702475073756	0.0	0.026846081841049935	0.16120386762116784	1.0	0.1475708981480621
