node,tissue
ASV113,LVR
ASV114,LVM
ASV114,PRL
ASV114,LVR
ASV115,LVR
ASV115,LVR
ASV115,LVM
ASV115,LVM
ASV115,PRL
ASV115,PRL
ASV115,RBL
ASV115,RBL
ASV116,PRL
ASV116,PRL
ASV116,LVM
ASV116,LVM
ASV116,RBL
ASV116,RBL
ASV116,LVR
ASV116,LVR
ASV117,LVM
ASV117,LVM
ASV117,RBL
ASV117,RBL
ASV117,LVR
ASV117,LVR
ASV118,LVM
ASV118,LVR
ASV119,LVM
ASV119,LVM
ASV119,RBL
ASV119,RBL
ASV120,RBL
ASV120,LVR
ASV121,LVR
ASV121,PRL
ASV121,LVM
ASV122,RBL
ASV122,RBL
ASV122,LVM
ASV122,LVM
ASV122,LVR
ASV122,LVR
ASV123,LVR
ASV123,LVR
ASV123,LVR
ASV123,LVM
ASV123,LVM
ASV123,LVM
ASV123,RBL
ASV123,RBL
ASV123,RBL
ASV124,LVM
ASV124,LVM
ASV124,RBL
ASV124,RBL
ASV124,LVR
ASV124,LVR
ASV124,PRL
ASV124,PRL
ASV125,PRL
ASV126,LVM
ASV126,PRL
ASV126,LVR
ASV127,LVM
ASV127,LVM
ASV127,LVR
ASV127,LVR
ASV127,PRL
ASV127,PRL
ASV128,LVR
ASV128,LVM
ASV128,PRL
ASV128,RBL
ASV129,PRL
ASV129,RBL
ASV129,LVM
ASV130,RBL
ASV130,RBL
ASV130,RBL
ASV130,PRL
ASV130,PRL
ASV130,PRL
ASV131,RBL
ASV131,RBL
ASV132,LVR
ASV132,RBL
ASV133,RBL
ASV134,RBL
ASV134,RBL
ASV134,LVM
ASV134,LVM
ASV134,LVR
ASV134,LVR
ASV135,PRL
ASV135,RBL
ASV135,LVM
ASV135,LVR
ASV136,LVR
ASV136,LVR
ASV136,LVR
ASV136,LVM
ASV136,LVM
ASV136,LVM
ASV136,PRL
ASV136,PRL
ASV136,PRL
ASV136,RBL
ASV136,RBL
ASV136,RBL
ASV137,RBL
ASV137,RBL
ASV137,LVR
ASV137,LVR
ASV137,LVM
ASV137,LVM
ASV138,LVR
ASV138,LVR
ASV138,RBL
ASV138,RBL
ASV138,LVM
ASV138,LVM
ASV139,LVR
ASV139,LVM
ASV139,RBL
ASV140,LVM
ASV140,PRL
ASV141,LVR
ASV141,LVM
ASV141,RBL
ASV142,RBL
ASV142,RBL
ASV143,RBL
