Sample	posterior	likelihood	prior	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	editRate.14	editRate.15	editRate.16	editRate.17	editRate.18	editRate.19	editRate.20	editRate.21	editRate.22	editRate.23	editRate.24	editRate.25	editRate.26	editRate.27	editRate.28	editRate.29	editRate.30	editRate.31	editRate.32	editRate.33	editRate.34	editRate.35	editRate.36	editRate.37	silencingRate	clockRate.c	relativeGeoRates.1	relativeGeoRates.2	relativeGeoRates.3	relativeGeoRates.4	relativeGeoRates.5	relativeGeoRates.6	relativeGeoRates.7	relativeGeoRates.8	relativeGeoRates.9	relativeGeoRates.10	traitClockRate	geoSubstModelLogger.relGeoRate_PRL_FML	geoSubstModelLogger.relGeoRate_PRL_LNSL	geoSubstModelLogger.relGeoRate_PRL_UNL	geoSubstModelLogger.relGeoRate_FML_PRL	geoSubstModelLogger.relGeoRate_FML_LNSL	geoSubstModelLogger.relGeoRate_FML_UNL	geoSubstModelLogger.relGeoRate_LNSL_PRL	geoSubstModelLogger.relGeoRate_LNSL_FML	geoSubstModelLogger.relGeoRate_LNSL_UNL	geoSubstModelLogger.relGeoRate_UNL_PRL	geoSubstModelLogger.relGeoRate_UNL_FML	geoSubstModelLogger.relGeoRate_UNL_LNSL	treeLikelihood	traitLikelihood	
10	-782.3273752375932	-460.89135416403315	-321.43602107356	8.40605540460863	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.047974869752248614	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.011448073618935378	0.023660859094417938	0.0673399289946165	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.028057855555321018	0.015824973039728282	0.06355869299296277	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.004013369040507864	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	2.2491637106475783E-4	0.0072250981969785915	1.9006125470410629	3.7716717220840814	1.5545187397945166	1.19127088053083	1.0095844914641166	0.22754000230631516	0.5558172375713436	1.2005282612933696	0.7021391635477624	3.6413514365652153	2.5319247353271743	3.7716717220840814	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	-373.92302167269685	-86.96833249133631	
11	-782.3273752375932	-460.89135416403315	-321.43602107356	8.40605540460863	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.047974869752248614	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.011448073618935378	0.023660859094417938	0.0673399289946165	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.028057855555321018	0.015824973039728282	0.06355869299296277	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.004013369040507864	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	2.2491637106475783E-4	0.0072250981969785915	1.9006125470410629	3.7716717220840814	1.5545187397945166	1.19127088053083	1.0095844914641166	0.22754000230631516	0.5558172375713436	1.2005282612933696	0.7021391635477624	3.6413514365652153	2.5319247353271743	3.7716717220840814	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	-373.92302167269685	-86.96833249133631	
12	-759.042175630291	-459.84253140341815	-299.1996442268729	7.8495141574693434	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.023660859094417938	0.034625950437595754	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.015824973039728282	0.06355869299296277	0.019419389410168506	0.03523777799980976	0.07490615555137613	0.007193470422830028	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0627623070494575	0.011243908459776297	0.009649045535459866	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	3.0690239800968625E-4	0.00894047494295676	1.7660187006331582	3.7992922241591294	2.069775904302492	0.8864718687558872	0.6935501860356097	0.18987198177969228	0.46967215804714907	1.3031658506225638	0.39327589694914633	3.5656581496984088	3.8130302821386803	3.7992922241591294	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	-375.8660390600805	-83.97649234333765	
13	-759.042175630291	-459.84253140341815	-299.1996442268729	7.8495141574693434	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.023660859094417938	0.034625950437595754	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.015824973039728282	0.06355869299296277	0.019419389410168506	0.03523777799980976	0.07490615555137613	0.007193470422830028	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0627623070494575	0.011243908459776297	0.009649045535459866	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	3.0690239800968625E-4	0.00894047494295676	1.7660187006331582	3.7992922241591294	2.069775904302492	0.8864718687558872	0.6935501860356097	0.18987198177969228	0.46967215804714907	1.3031658506225638	0.39327589694914633	3.5656581496984088	3.8130302821386803	3.7992922241591294	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	-375.8660390600805	-83.97649234333765	
14	-759.042175630291	-459.84253140341815	-299.1996442268729	7.8495141574693434	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.023660859094417938	0.034625950437595754	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.015824973039728282	0.06355869299296277	0.019419389410168506	0.03523777799980976	0.07490615555137613	0.007193470422830028	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0627623070494575	0.011243908459776297	0.009649045535459866	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	3.0690239800968625E-4	0.00894047494295676	1.7660187006331582	3.7992922241591294	2.069775904302492	0.8864718687558872	0.6935501860356097	0.18987198177969228	0.46967215804714907	1.3031658506225638	0.39327589694914633	3.5656581496984088	3.8130302821386803	3.7992922241591294	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	-375.8660390600805	-83.97649234333765	
15	-759.042175630291	-459.84253140341815	-299.1996442268729	7.8495141574693434	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.023660859094417938	0.034625950437595754	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.015824973039728282	0.06355869299296277	0.019419389410168506	0.03523777799980976	0.07490615555137613	0.007193470422830028	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0627623070494575	0.011243908459776297	0.009649045535459866	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	3.0690239800968625E-4	0.00894047494295676	1.7660187006331582	3.7992922241591294	2.069775904302492	0.8864718687558872	0.6935501860356097	0.18987198177969228	0.46967215804714907	1.3031658506225638	0.39327589694914633	3.5656581496984088	3.8130302821386803	3.7992922241591294	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	-375.8660390600805	-83.97649234333765	
16	-759.042175630291	-459.84253140341815	-299.1996442268729	7.8495141574693434	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.023660859094417938	0.034625950437595754	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.015824973039728282	0.06355869299296277	0.019419389410168506	0.03523777799980976	0.07490615555137613	0.007193470422830028	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0627623070494575	0.011243908459776297	0.009649045535459866	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	3.0690239800968625E-4	0.00894047494295676	1.7660187006331582	3.7992922241591294	2.069775904302492	0.8864718687558872	0.6935501860356097	0.18987198177969228	0.46967215804714907	1.3031658506225638	0.39327589694914633	3.5656581496984088	3.8130302821386803	3.7992922241591294	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	1.7660187006331582	3.7992922241591294	3.7992922241591294	-375.8660390600805	-83.97649234333765	
17	-763.5965136436547	-459.61041158689574	-303.98610205675897	8.122026874594297	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.046659266275003705	0.034625950437595754	0.022542625843851347	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.05500978155396717	0.06355869299296277	0.01843497856653685	0.03523777799980976	0.05190774837079036	0.007193470422830028	0.030041079230360923	0.043670935755169435	0.012165269570075798	0.01543358239828617	0.011243908459776297	0.06231364948015372	0.006708525891088488	0.01781311144727736	0.018118120941908997	0.057864349576936744	0.03030335693621121	0.027987824543666093	0.015096161807258021	6.0949281566848107E-5	0.008444477609017063	1.7288141065098896	6.109058672011318	2.052301944188418	0.7941974285766579	0.5696531824786788	0.3001354177764232	0.5772638121267772	1.7134750194606632	0.2483914326405586	2.0915692214695687	4.309034269474564	6.109058672011318	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	-373.7659317497792	-85.84447983711652	
18	-763.5965136436547	-459.61041158689574	-303.98610205675897	8.122026874594297	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.028019564712836717	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.004223725897931047	0.046659266275003705	0.034625950437595754	0.022542625843851347	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.012156007653792197	0.05500978155396717	0.06355869299296277	0.01843497856653685	0.03523777799980976	0.05190774837079036	0.007193470422830028	0.030041079230360923	0.043670935755169435	0.012165269570075798	0.01543358239828617	0.011243908459776297	0.06231364948015372	0.006708525891088488	0.01781311144727736	0.018118120941908997	0.057864349576936744	0.03030335693621121	0.027987824543666093	0.015096161807258021	6.0949281566848107E-5	0.008444477609017063	1.7288141065098896	6.109058672011318	2.052301944188418	0.7941974285766579	0.5696531824786788	0.3001354177764232	0.5772638121267772	1.7134750194606632	0.2483914326405586	2.0915692214695687	4.309034269474564	6.109058672011318	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	1.7288141065098896	6.109058672011318	6.109058672011318	-373.7659317497792	-85.84447983711652	
19	-765.1544113673185	-459.22254792462104	-305.9318634426974	7.2724992489637925	0.02277207597073959	0.016827930400243885	0.028456498639856942	0.03224495494249585	0.028019564712836717	0.00573362730857814	0.04451701507909975	0.025015808853291632	0.00872987808674451	0.061400796395425256	0.004223725897931047	0.046659266275003705	0.034625950437595754	0.013001103243216114	0.0015980678382938318	0.022184697390127045	0.02824816967034137	0.012156007653792197	0.05500978155396717	0.01569081482178411	0.008527836986598189	0.04477930060044499	0.05190774837079036	0.007193470422830028	0.030041079230360923	0.043670935755169435	0.012165269570075798	0.01543358239828617	0.059111786630954954	0.06231364948015372	0.006708525891088488	0.01781311144727736	0.004338286049032511	0.05549233810843711	0.03030335693621121	0.027987824543666093	0.015096161807258021	6.0147536844489854E-5	0.008721319090561508	1.6851560438812823	6.67659237303674	1.5456611425280158	0.7784905681294045	0.3049084994558164	0.32966572783614406	0.513316982235941	1.8423209365685105	0.10768436118216003	2.0250996401864496	3.1375192795392017	6.67659237303674	6.67659237303674	6.67659237303674	1.6851560438812823	6.67659237303674	6.67659237303674	1.6851560438812823	6.67659237303674	6.67659237303674	1.6851560438812823	6.67659237303674	6.67659237303674	-372.0651282811918	-87.15741964342925	
